amount,hour_of_day,day_of_week,is_international,category_risk,location_risk,time_risk,amount_risk,device_risk,amount_time_interaction,amount_location_interaction,is_fraud
18.991076292720795,12.0,5.0,0.0,0.4,0.1,0.1,0.0018991076292720795,0.3,1.8991076292720797,1.8991076292720797,0
643.9479948152471,3.0,1.0,1.0,0.7,0.4,0.8,0.06439479948152471,0.7,515.1583958521977,257.57919792609886,1
56.344890513752546,16.0,6.0,1.0,0.35,0.2,0.1,0.005634489051375254,0.3,5.634489051375255,11.26897810275051,0
39.01449733107297,15.0,3.0,0.0,0.15,0.1,0.1,0.0039014497331072966,0.3,3.901449733107297,3.901449733107297,0
712.2574382776749,1.0,2.0,1.0,0.5,0.7,0.8,0.07122574382776749,0.3,569.8059506221399,498.5802067943724,1
131.76411905272008,18.0,5.0,0.0,0.3,0.15,0.1,0.013176411905272007,0.1,13.176411905272008,19.76461785790801,0
119.44711665236372,12.0,4.0,0.0,0.25,0.2,0.1,0.011944711665236371,0.1,11.944711665236373,23.889423330472745,0
1377.7411349413762,1.0,5.0,0.0,0.7,0.4,0.8,0.13777411349413762,0.3,1102.192907953101,551.0964539765505,1
105.26764249548391,8.0,1.0,0.0,0.1,0.15,0.3,0.010526764249548392,0.2,31.58029274864517,15.790146374322585,0
57.69716327683037,10.0,6.0,0.0,0.4,0.15,0.1,0.005769716327683037,0.2,5.769716327683038,8.654574491524556,0
11.739673450244295,22.0,4.0,0.0,0.2,0.1,0.6,0.0011739673450244295,0.3,7.043804070146577,1.1739673450244295,0
17.230267864045736,7.0,4.0,1.0,0.1,0.15,0.3,0.0017230267864045735,0.3,5.16908035921372,2.58454017960686,0
4.351148887533031,12.0,5.0,0.0,0.2,0.15,0.1,0.0004351148887533031,0.1,0.4351148887533032,0.6526723331299547,0
33.82639545959011,15.0,0.0,1.0,0.2,0.1,0.1,0.003382639545959011,0.3,3.382639545959011,3.382639545959011,0
16.345908617908815,10.0,6.0,0.0,0.4,0.1,0.1,0.0016345908617908815,0.1,1.6345908617908815,1.6345908617908815,0
151.65909619323685,19.0,4.0,0.0,0.05,0.1,0.1,0.015165909619323684,0.3,15.165909619323685,15.165909619323685,0
8.12808465923757,19.0,0.0,0.0,0.05,0.1,0.1,0.0008128084659237571,0.2,0.8128084659237571,0.8128084659237571,0
84.12911602024691,11.0,0.0,0.0,0.25,0.15,0.1,0.00841291160202469,0.3,8.41291160202469,12.619367403037037,0
22.01085327686351,8.0,3.0,1.0,0.4,0.1,0.3,0.002201085327686351,0.3,6.603255983059053,2.2010853276863513,0
22.23148468570784,12.0,5.0,0.0,0.3,0.15,0.1,0.002223148468570784,0.3,2.223148468570784,3.334722702856176,0
25.158550574962,11.0,0.0,0.0,0.4,0.1,0.1,0.0025158550574962,0.2,2.5158550574962,2.5158550574962,0
29.817433405703806,15.0,0.0,0.0,0.1,0.2,0.1,0.0029817433405703807,0.3,2.9817433405703806,5.963486681140761,0
13.60486614107977,7.0,3.0,0.0,0.2,0.1,0.3,0.0013604866141079769,0.1,4.08145984232393,1.360486614107977,0
21.62307188404647,12.0,3.0,0.0,0.15,0.15,0.1,0.002162307188404647,0.3,2.162307188404647,3.2434607826069706,0
200.0,3.0,6.0,1.0,0.7,0.7,0.8,0.02,0.4,160.0,140.0,1
274.7529939227128,10.0,2.0,0.0,0.25,0.1,0.1,0.02747529939227128,0.3,27.475299392271282,27.475299392271282,0
31.660850359070654,15.0,0.0,0.0,0.05,0.1,0.1,0.0031660850359070654,0.3,3.1660850359070656,3.1660850359070656,0
309.4395608612116,9.0,0.0,1.0,0.25,0.15,0.1,0.03094395608612116,0.2,30.94395608612116,46.415934129181736,0
4.436109967458438,13.0,6.0,0.0,0.4,0.1,0.1,0.0004436109967458438,0.1,0.4436109967458438,0.4436109967458438,0
55.67880849145438,10.0,0.0,0.0,0.1,0.1,0.1,0.005567880849145439,0.3,5.567880849145439,5.567880849145439,0
113.93430350627148,21.0,5.0,0.0,0.3,0.1,0.1,0.011393430350627148,0.3,11.393430350627149,11.393430350627149,0
11.998827513445297,19.0,0.0,0.0,0.15,0.15,0.1,0.0011998827513445298,0.3,1.1998827513445298,1.7998241270167945,0
396.7366283673622,10.0,3.0,0.0,0.2,0.2,0.1,0.03967366283673622,0.2,39.67366283673622,79.34732567347244,0
254.01586626662885,19.0,0.0,0.0,0.15,0.1,0.1,0.025401586626662885,0.3,25.401586626662887,25.401586626662887,0
13.66228998238624,16.0,6.0,0.0,0.35,0.1,0.1,0.0013662289982386239,0.3,1.366228998238624,1.366228998238624,0
56.43084335004545,13.0,4.0,0.0,0.15,0.1,0.1,0.005643084335004545,0.1,5.643084335004545,5.643084335004545,0
620.6585650417765,1.0,2.0,1.0,0.85,0.4,0.8,0.06206585650417765,0.7,496.52685203342116,248.26342601671058,1
187.03658951472897,14.0,1.0,1.0,0.35,0.1,0.1,0.0187036589514729,0.3,18.7036589514729,18.7036589514729,0
17.806829812982702,10.0,6.0,0.0,0.3,0.1,0.1,0.0017806829812982703,0.1,1.7806829812982703,1.7806829812982703,0
72.66540348419784,15.0,0.0,0.0,0.05,0.1,0.1,0.007266540348419784,0.3,7.266540348419785,7.266540348419785,0
128.814480291191,15.0,6.0,0.0,0.25,0.1,0.1,0.0128814480291191,0.3,12.881448029119099,12.881448029119099,0
49.46568048326619,17.0,2.0,0.0,0.05,0.15,0.1,0.004946568048326619,0.3,4.946568048326619,7.419852072489928,0
106.30501913265691,15.0,6.0,0.0,0.05,0.15,0.1,0.010630501913265691,0.3,10.630501913265691,15.945752869898536,0
148.69101285474324,14.0,4.0,0.0,0.1,0.15,0.1,0.014869101285474324,0.2,14.869101285474324,22.303651928211483,0
19.03572697993215,9.0,1.0,1.0,0.35,0.1,0.1,0.001903572697993215,0.3,1.903572697993215,1.903572697993215,0
35.64619481279479,18.0,1.0,0.0,0.2,0.15,0.1,0.0035646194812794787,0.3,3.564619481279479,5.346929221919218,0
57.08561540489785,8.0,3.0,1.0,0.15,0.15,0.3,0.005708561540489785,0.1,17.125684621469354,8.562842310734677,0
142.4251083998815,18.0,2.0,1.0,0.3,0.1,0.1,0.01424251083998815,0.1,14.242510839988151,14.242510839988151,0
67.28003897801074,6.0,6.0,0.0,0.25,0.1,0.3,0.006728003897801074,0.3,20.18401169340322,6.728003897801074,0
108.62840962561648,11.0,2.0,0.0,0.05,0.1,0.1,0.010862840962561649,0.2,10.862840962561648,10.862840962561648,0
66.15455776376389,20.0,1.0,1.0,0.2,0.1,0.1,0.006615455776376389,0.3,6.61545577637639,6.61545577637639,0
1113.3185433340136,23.0,5.0,1.0,0.85,0.9,0.8,0.11133185433340136,0.4,890.6548346672109,1001.9866890006123,1
140.18158528006003,14.0,6.0,0.0,0.1,0.2,0.1,0.014018158528006003,0.1,14.018158528006005,28.03631705601201,0
108.65799690716732,12.0,0.0,0.0,0.1,0.1,0.1,0.010865799690716731,0.1,10.865799690716733,10.865799690716733,0
88.02217924110555,10.0,1.0,0.0,0.05,0.1,0.1,0.008802217924110555,0.2,8.802217924110556,8.802217924110556,0
20.42780274962354,9.0,5.0,0.0,0.3,0.1,0.1,0.0020427802749623542,0.1,2.0427802749623543,2.0427802749623543,0
29.56633548428565,10.0,5.0,0.0,0.2,0.1,0.1,0.002956633548428565,0.3,2.956633548428565,2.956633548428565,0
200.0,5.0,0.0,1.0,0.7,0.7,0.8,0.02,0.3,160.0,140.0,1
22.622198604601966,11.0,6.0,1.0,0.1,0.15,0.1,0.002262219860460197,0.2,2.262219860460197,3.3933297906902946,0
24.878663273842655,8.0,5.0,0.0,0.05,0.1,0.3,0.0024878663273842656,0.2,7.463598982152796,2.487866327384266,0
